key,category,type,flags,default,source,lineno,django_setting,found_by,safe_to_delete,hints,has_db_value,has_disk_value,usages
analytics.backend,static/active,inferred,FLAG_NOSTORE,"""noop""",src/sentry/options/defaults.py,640,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/singletenant.py; src/sentry/analytics/__init__.py
analytics.options,static/active,inferred,FLAG_NOSTORE,{},src/sentry/options/defaults.py,641,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/singletenant.py; src/sentry/analytics/__init__.py
api-token-async-flush,static/active,Bool,FLAG_ALLOW_EMPTY | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,3675,,both,NEVER_DELETE,,,,src/sentry/models/apitoken.py; tests/sentry/models/test_apitoken.py
api.deprecation.brownout-cron,static/active,String,FLAG_AUTOMATOR_MODIFIABLE,"""0 12 * * *""",src/sentry/options/defaults.py,1525,,both,NEVER_DELETE,,,,src/sentry/api/helpers/deprecation.py; tests/sentry/api/helpers/test_deprecation.py
api.deprecation.brownout-duration,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,60,src/sentry/options/defaults.py,1533,,both,NEVER_DELETE,,,,src/sentry/api/helpers/deprecation.py; tests/sentry/api/helpers/test_deprecation.py
api.organization.disable-last-deploys,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,1280,,both,NEVER_DELETE,,,,src/sentry/api/serializers/models/organization.py; src/sentry/killswitches.py; tests/sentry/api/serializers/test_organization.py
api.project-transfer.rate-limit-overrides,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,3,src/sentry/options/defaults.py,319,,both,NEVER_DELETE,,,,src/sentry/core/endpoints/project_transfer.py; tests/sentry/core/endpoints/test_project_transfer.py
api.rate-limit.org-create,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,5,src/sentry/options/defaults.py,312,,both,NEVER_DELETE,,,,src/sentry/core/endpoints/organization_index.py; static/app/views/admin/adminSettings.spec.tsx; static/app/views/admin/adminSettings.tsx; static/app/views/admin/options.tsx; tests/sentry/core/endpoints/test_organization_index.py
apigateway.cell_resolver.enabled,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,3735,,both,NEVER_DELETE,,,,src/sentry/hybridcloud/apigateway/apigateway.py; src/sentry/hybridcloud/apigateway_async/apigateway.py; tests/sentry/feedback/endpoints/test_error_page_embed.py; tests/sentry/web/frontend/test_js_sdk_loader.py
apigateway.proxy.circuit-breaker.config,static/active,Dict,FLAG_AUTOMATOR_MODIFIABLE,"{
        ""error_limit"": 100",src/sentry/hybridcloud/options.py,187,,both,NEVER_DELETE,,,,src/sentry/hybridcloud/apigateway/proxy.py
apigateway.proxy.circuit-breaker.enabled,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/hybridcloud/options.py,198,,both,NEVER_DELETE,,,,src/sentry/hybridcloud/apigateway/proxy.py
apigateway.proxy.circuit-breaker.enforce,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/hybridcloud/options.py,204,,both,NEVER_DELETE,,,,src/sentry/hybridcloud/apigateway/proxy.py
apigateway.proxy.timeout,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,None,src/sentry/hybridcloud/options.py,181,,both,NEVER_DELETE,,,,src/sentry/hybridcloud/apigateway/proxy.py
auth-fly.client-id,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK,,src/sentry/auth/providers/fly/apps.py,15,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/defaults.py; src/sentry/auth/providers/fly/provider.py
auth-fly.client-secret,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK,,src/sentry/auth/providers/fly/apps.py,19,,both,NEVER_DELETE,,,,getsentry/conf/settings/defaults.py; src/sentry/auth/providers/fly/provider.py
auth-google.client-id,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK,,src/sentry/auth/providers/google/apps.py,14,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/defaults.py; getsentry/conf/settings/dev.py; getsentry/conf/settings/singletenant.py; src/sentry/auth/providers/google/provider.py; src/sentry/identity/google/provider.py; src/sentry/runner/initializer.py
auth-google.client-secret,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK,,src/sentry/auth/providers/google/apps.py,17,,both,NEVER_DELETE,,,,getsentry/conf/settings/defaults.py; getsentry/conf/settings/dev.py; getsentry/conf/settings/singletenant.py; src/sentry/auth/providers/google/provider.py; src/sentry/identity/google/provider.py; src/sentry/runner/initializer.py
auth.allow-registration,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_REQUIRED,False,src/sentry/options/defaults.py,271,,both,NEVER_DELETE,,,,CHANGES; getsentry/conf/settings/defaults.py; src/sentry/utils/auth.py; static/app/views/admin/adminSettings.spec.tsx; static/app/views/admin/adminSettings.tsx; static/app/views/admin/options.tsx; tests/js/fixtures/installWizard.ts; tests/sentry/api/endpoints/test_auth_config.py; tests/sentry/api/endpoints/test_system_options.py; tests/sentry/web/frontend/test_auth_login.py; tests/sentry/web/test_api.py; tests/sentry/web/test_client_config.py
auth.ip-rate-limit,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,0,src/sentry/options/defaults.py,261,,both,NEVER_DELETE,,,,src/sentry/web/forms/accounts.py; static/app/views/admin/adminSettings.spec.tsx; static/app/views/admin/adminSettings.tsx; static/app/views/admin/options.tsx
auth.user-rate-limit,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,0,src/sentry/options/defaults.py,266,,both,NEVER_DELETE,,,,src/sentry/web/forms/accounts.py; static/app/views/admin/adminSettings.spec.tsx; static/app/views/admin/adminSettings.tsx; static/app/views/admin/options.tsx
aws-lambda.access-key-id,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,,src/sentry/options/defaults.py,824,,both,NEVER_DELETE,,,,getsentry/conf/settings/defaults.py; src/sentry/integrations/aws_lambda/client.py; src/sentry/testutils/pytest/sentry.py
aws-lambda.account-number,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,"""943013980633""",src/sentry/options/defaults.py,827,,string,NEVER_DELETE,,,,getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/defaults.py; src/sentry/integrations/aws_lambda/utils.py; src/sentry/testutils/pytest/sentry.py
aws-lambda.cloudformation-url,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,,src/sentry/options/defaults.py,826,,both,NEVER_DELETE,,,,getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/defaults.py; src/sentry/integrations/aws_lambda/integration.py; src/sentry/testutils/pytest/sentry.py
aws-lambda.host-region,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,"""us-east-2""",src/sentry/options/defaults.py,841,,both,NEVER_DELETE,,,,src/sentry/integrations/aws_lambda/client.py
aws-lambda.node.layer-name,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,"""SentryNodeServerlessSDK""",src/sentry/options/defaults.py,828,,string,NEVER_DELETE,,,,src/sentry/testutils/pytest/sentry.py
aws-lambda.node.layer-version,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,,src/sentry/options/defaults.py,833,,string,NEVER_DELETE,,,,src/sentry/testutils/pytest/sentry.py
aws-lambda.python.layer-name,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,"""SentryPythonServerlessSDK""",src/sentry/options/defaults.py,834,,string,NEVER_DELETE,,,,src/sentry/testutils/pytest/sentry.py
aws-lambda.python.layer-version,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,,src/sentry/options/defaults.py,839,,string,NEVER_DELETE,,,,src/sentry/testutils/pytest/sentry.py
aws-lambda.secret-access-key,static/active,inferred,FLAG_CREDENTIAL | FLAG_PRIORITIZE_DISK,,src/sentry/options/defaults.py,825,,both,NEVER_DELETE,credential_flag,,,getsentry/conf/settings/defaults.py; src/sentry/integrations/aws_lambda/client.py; src/sentry/testutils/pytest/sentry.py
aws-lambda.thread-count,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,100,src/sentry/options/defaults.py,843,,both,NEVER_DELETE,,,,src/sentry/integrations/aws_lambda/integration.py
backfill_new_categories.categories,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],getsentry/models/__init__.py,424,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py; tests/getsentry/api/test_admin_deletebillingmetrichistory.py; tests/getsentry/billing/test_backfill_new_categories.py
backfill_new_categories.chunk_size,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,100,getsentry/models/__init__.py,413,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py; tests/getsentry/billing/test_backfill_new_categories.py
backfill_new_categories.lock_ttl,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,30 * 60,getsentry/models/__init__.py,441,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py
backfill_new_categories.org_ids,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],getsentry/models/__init__.py,433,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py; tests/getsentry/api/test_admin_deletebillingmetrichistory.py; tests/getsentry/billing/test_backfill_new_categories.py
backfill_new_categories.prioritize_paid_plans,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,True,getsentry/models/__init__.py,450,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py
backfill_new_categories.should_run,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,getsentry/models/__init__.py,405,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py; tests/getsentry/billing/test_backfill_new_categories.py
